word,letter_combination,phoneme
at,a,/ă/
ate,a_e,/ā/
can,a,/ă/
cane,a_e,/ā/
cap,a,/ă/
cape,a_e,/ā/
dam,a,/ă/
dame,a_e,/ā/
fad,a,/ă/
fade,a_e,/ā/
fat,a,/ă/
fate,a_e,/ā/
gap,a,/ă/
gape,a_e,/ā/
hat,a,/ă/
hate,a_e,/ā/
mad,a,/ă/
made,a_e,/ā/
man,a,/ă/
mane,a_e,/ā/
mat,a,/ă/
mate,a_e,/ā/
pal,a,/ă/
pale,a_e,/ā/
pan,a,/ă/
pane,a_e,/ā/
past,a,/ă/
paste,a_e,/ā/
plan,a,/ă/
plane,a_e,/ā/
rat,a,/ă/
rate,a_e,/ā/
scrap,a,/ă/
scrape,a_e,/ā/
sham,a,/ă/
shame,a_e,/ā/
tap,a,/ă/
tape,a_e,/ā/
van,a,/ă/
vane,a_e,/ā/
met,e,/ĕ/
mete,e_e,/ē/
pet,e,/ĕ/
Pete,e_e,/ē/
them,e,/ĕ/
theme,e_e,/ē/
bit,i,/ĭ/
bite,i_e,/ī/
dim,i,/ĭ/
dime,i_e,/ī/
din,i,/ĭ/
dine,i_e,/ī/
fin,i,/ĭ/
fine,i_e,/ī/
hid,i,/ĭ/
hide,i_e,/ī/
kit,i,/ĭ/
kite,i_e,/ī/
pin,i,/ĭ/
pine,i_e,/ī/
rid,i,/ĭ/
ride,i_e,/ī/
rip,i,/ĭ/
ripe,i_e,/ī/
sit,i,/ĭ/
site,i_e,/ī/
win,i,/ĭ/
wine,i_e,/ī/
grip,i,/ĭ/
gripe,i_e,/ī/
quit,i,/ĭ/
quite,i_e,/ī/
shin,i,/ĭ/
shine,i_e,/ī/
slid,i,/ĭ/
slide,i_e,/ī/
slim,i,/ĭ/
slime,i_e,/ī/
spin,i,/ĭ/
spine,i_e,/ī/
spit,i,/ĭ/
spite,i_e,/ī/
strip,i,/ĭ/
stripe,i_e,/ī/
twin,i,/ĭ/
twine,i_e,/ī/
cod,o,/ŏ/
code,o_e,/ō/
con,o,/ŏ/
cone,o_e,/ō/
cop,o,/ŏ/
cope,o_e,/ō/
dot,o,/ŏ/
dote,o_e,/ō/
hop,o,/ŏ/
hope,o_e,/ō/
lob,o,/ŏ/
lobe,o_e,/ō/
mod,o,/ŏ/
mode,o_e,/ō/
mop,o,/ŏ/
mope,o_e,/ō/
nod,o,/ŏ/
node,o_e,/ō/
not,o,/ŏ/
note,o_e,/ō/
pop,o,/ŏ/
pope,o_e,/ō/
rob,o,/ŏ/
robe,o_e,/ō/
rod,o,/ŏ/
rode,o_e,/ō/
rot,o,/ŏ/
rote,o_e,/ō/
tot,o,/ŏ/
tote,o_e,/ō/
wok,o,/ŏ/
woke,o_e,/ō/
glob,o,/ŏ/
globe,o_e,/ō/
slop,o,/ŏ/
slope,o_e,/ō/
cub,u,/ŭ/
cube,u_e,/ū/
cut,u,/ŭ/
cute,u_e,/ū/
dud,u,/ŭ/
dude,u_e,/ū/
dun,u,/ŭ/
dune,u_e,/ū/
hug,u,/ŭ/
huge,u_e,/ū/
jut,u,/ŭ/
jute,u_e,/ū/
run,u,/ŭ/
rune,u_e,/ū/
tub,u,/ŭ/
tube,u_e,/ū/
us,u,/ŭ/
use,u_e,/ū/
plum,u,/ŭ/
plume,u_e,/ū/
crud,u,/ŭ/
crude,u_e,/ū/
