word,letter_combination,phoneme
sun,s,/s/
sit,s,/s/
sad,s,/s/
sap,s,/s/
sip,s,/s/
sob,s,/s/
sod,s,/s/
sum,s,/s/
sat,s,/s/
send,s,/s/
cent,c,/s/
city,c,/s/
ice,c,/s/
nice,c,/s/
rice,c,/s/
face,c,/s/
lace,c,/s/
race,c,/s/
mice,c,/s/
cell,c,/s/
hiss,ss,/s/
kiss,ss,/s/
miss,ss,/s/
mess,ss,/s/
less,ss,/s/
fuss,ss,/s/
boss,ss,/s/
toss,ss,/s/
pass,ss,/s/
grass,ss,/s/
cat,a,/ă/
bat,a,/ă/
cap,a,/ă/
map,a,/ă/
man,a,/ă/
hat,a,/ă/
bag,a,/ă/
jam,a,/ă/
rag,a,/ă/
sad,a,/ă/
have,a_e,/ă/
axe,a_e,/ă/
top,t,/t/
ten,t,/t/
tap,t,/t/
tin,t,/t/
tub,t,/t/
tag,t,/t/
tip,t,/t/
tan,t,/t/
tot,t,/t/
tell,t,/t/
pig,p,/p/
pen,p,/p/
pan,p,/p/
pot,p,/p/
pup,p,/p/
pin,p,/p/
pop,p,/p/
pet,p,/p/
pat,p,/p/
lip,p,/p/
apple,pp,/p/
happy,pp,/p/
puppy,pp,/p/
hippo,pp,/p/
upper,pp,/p/
supper,pp,/p/
puppet,pp,/p/
pepper,pp,/p/
copper,pp,/p/
sit,i,/ĭ/
pin,i,/ĭ/
pig,i,/ĭ/
lip,i,/ĭ/
fin,i,/ĭ/
win,i,/ĭ/
bit,i,/ĭ/
dig,i,/ĭ/
hit,i,/ĭ/
kid,i,/ĭ/
give,i_e,/ĭ/
live,i_e,/ĭ/
olive,i_e,/ĭ/
net,n,/n/
nap,n,/n/
nip,n,/n/
nod,n,/n/
nut,n,/n/
ten,n,/n/
man,n,/n/
pen,n,/n/
sun,n,/n/
fan,n,/n/
knee,kn,/n/
know,kn,/n/
knot,kn,/n/
knit,kn,/n/
knob,kn,/n/
knife,kn,/n/
knock,kn,/n/
kneel,kn,/n/
knew,kn,/n/
knead,kn,/n/
man,m,/m/
map,m,/m/
mop,m,/m/
mud,m,/m/
mug,m,/m/
mat,m,/m/
mix,m,/m/
ham,m,/m/
ram,m,/m/
