section,lesson,lesson_description,word,is_sight_word,phonetic_symbol,letter_combination,source
3,27,Words with the Short-A Vowel Sound,at,F,/ă/,,OPG_Revised_Instructor.pdf
3,27,Words with the Short-A Vowel Sound,am,F,/ă/,,OPG_Revised_Instructor.pdf
3,27,Words with the Short-A Vowel Sound,an,F,/ă/,,OPG_Revised_Instructor.pdf
3,27,Words with the Short-A Vowel Sound,ad,F,/ă/,,OPG_Revised_Instructor.pdf
3,28,Words with the Short-A Vowel Sound,at,F,/ă/,,OPG_Revised_Instructor.pdf
3,28,Words with the Short-A Vowel Sound,ad,F,/ă/,,OPG_Revised_Instructor.pdf
3,28,Words with the Short-A Vowel Sound,an,F,/ă/,,OPG_Revised_Instructor.pdf
3,28,Words with the Short-A Vowel Sound,am,F,/ă/,,OPG_Revised_Instructor.pdf
3,28,Words with the Short-A Vowel Sound,pat,F,/ă/,,OPG_Revised_Instructor.pdf
3,28,Words with the Short-A Vowel Sound,fat,F,/ă/,,OPG_Revised_Instructor.pdf
3,28,Words with the Short-A Vowel Sound,sat,F,/ă/,,OPG_Revised_Instructor.pdf
3,28,Words with the Short-A Vowel Sound,bat,F,/ă/,,OPG_Revised_Instructor.pdf
3,28,Words with the Short-A Vowel Sound,rat,F,/ă/,,OPG_Revised_Instructor.pdf
3,28,Words with the Short-A Vowel Sound,cat,F,/ă/,,OPG_Revised_Instructor.pdf
3,28,Words with the Short-A Vowel Sound,hat,F,/ă/,,OPG_Revised_Instructor.pdf
3,28,Words with the Short-A Vowel Sound,mat,F,/ă/,,OPG_Revised_Instructor.pdf
3,29,Words with the Short-A Vowel Sound; Sight Word: the,am,F,/ă/,,OPG_Revised_Instructor.pdf
3,29,Words with the Short-A Vowel Sound; Sight Word: the,an,F,/ă/,,OPG_Revised_Instructor.pdf
3,29,Words with the Short-A Vowel Sound; Sight Word: the,ad,F,/ă/,,OPG_Revised_Instructor.pdf
3,29,Words with the Short-A Vowel Sound; Sight Word: the,at,F,/ă/,,OPG_Revised_Instructor.pdf
3,29,Words with the Short-A Vowel Sound; Sight Word: the,rat,F,/ă/,,OPG_Revised_Instructor.pdf
3,29,Words with the Short-A Vowel Sound; Sight Word: the,pat,F,/ă/,,OPG_Revised_Instructor.pdf
3,29,Words with the Short-A Vowel Sound; Sight Word: the,sat,F,/ă/,,OPG_Revised_Instructor.pdf
3,29,Words with the Short-A Vowel Sound; Sight Word: the,cat,F,/ă/,,OPG_Revised_Instructor.pdf
3,29,Words with the Short-A Vowel Sound; Sight Word: the,fat,F,/ă/,,OPG_Revised_Instructor.pdf
3,29,Words with the Short-A Vowel Sound; Sight Word: the,mat,F,/ă/,,OPG_Revised_Instructor.pdf
3,29,Words with the Short-A Vowel Sound; Sight Word: the,bat,F,/ă/,,OPG_Revised_Instructor.pdf
3,29,Words with the Short-A Vowel Sound; Sight Word: the,hat,F,/ă/,,OPG_Revised_Instructor.pdf
3,29,Words with the Short-A Vowel Sound; Sight Word: the,man,F,/ă/,,OPG_Revised_Instructor.pdf
3,29,Words with the Short-A Vowel Sound; Sight Word: the,fan,F,/ă/,,OPG_Revised_Instructor.pdf
3,29,Words with the Short-A Vowel Sound; Sight Word: the,ban,F,/ă/,,OPG_Revised_Instructor.pdf
3,29,Words with the Short-A Vowel Sound; Sight Word: the,ran,F,/ă/,,OPG_Revised_Instructor.pdf
3,29,Words with the Short-A Vowel Sound; Sight Word: the,can,F,/ă/,,OPG_Revised_Instructor.pdf
3,29,Words with the Short-A Vowel Sound; Sight Word: the,van,F,/ă/,,OPG_Revised_Instructor.pdf
3,29,Words with the Short-A Vowel Sound; Sight Word: the,tan,F,/ă/,,OPG_Revised_Instructor.pdf
3,29,Words with the Short-A Vowel Sound; Sight Word: the,Dan,F,/ă/,,OPG_Revised_Instructor.pdf
3,29,Words with the Short-A Vowel Sound; Sight Word: the,Pat,F,/ă/,,OPG_Revised_Instructor.pdf
3,29,Words with the Short-A Vowel Sound; Sight Word: the,the,T,/ē/,,OPG_Revised_Instructor.pdf
3,30,Words with the Short-A Vowel Sound,the,T,/ē/,,OPG_Revised_Instructor.pdf
3,30,Words with the Short-A Vowel Sound,ad,F,/ă/,,OPG_Revised_Instructor.pdf
3,30,Words with the Short-A Vowel Sound,pad,F,/ă/,,OPG_Revised_Instructor.pdf
3,30,Words with the Short-A Vowel Sound,had,F,/ă/,,OPG_Revised_Instructor.pdf
3,30,Words with the Short-A Vowel Sound,mad,F,/ă/,,OPG_Revised_Instructor.pdf
3,30,Words with the Short-A Vowel Sound,dad,F,/ă/,,OPG_Revised_Instructor.pdf
3,30,Words with the Short-A Vowel Sound,sad,F,/ă/,,OPG_Revised_Instructor.pdf
3,30,Words with the Short-A Vowel Sound,bad,F,/ă/,,OPG_Revised_Instructor.pdf
3,30,Words with the Short-A Vowel Sound,Dan,F,/ă/,,OPG_Revised_Instructor.pdf
3,30,Words with the Short-A Vowel Sound,can,F,/ă/,,OPG_Revised_Instructor.pdf
3,30,Words with the Short-A Vowel Sound,bat,F,/ă/,,OPG_Revised_Instructor.pdf
3,30,Words with the Short-A Vowel Sound,ran,F,/ă/,,OPG_Revised_Instructor.pdf
3,30,Words with the Short-A Vowel Sound,Dad,F,/ă/,,OPG_Revised_Instructor.pdf
3,30,Words with the Short-A Vowel Sound,man,F,/ă/,,OPG_Revised_Instructor.pdf
3,30,Words with the Short-A Vowel Sound,Pat,F,/ă/,,OPG_Revised_Instructor.pdf
3,30,Words with the Short-A Vowel Sound,sat,F,/ă/,,OPG_Revised_Instructor.pdf
3,31,Words with the Short-A Vowel Sound; Sight Word: I,am,F,/ă/,,OPG_Revised_Instructor.pdf
3,31,Words with the Short-A Vowel Sound; Sight Word: I,ham,F,/ă/,,OPG_Revised_Instructor.pdf
3,31,Words with the Short-A Vowel Sound; Sight Word: I,jam,F,/ă/,,OPG_Revised_Instructor.pdf
3,31,Words with the Short-A Vowel Sound; Sight Word: I,Pam,F,/ă/,,OPG_Revised_Instructor.pdf
3,31,Words with the Short-A Vowel Sound; Sight Word: I,Sam,F,/ă/,,OPG_Revised_Instructor.pdf
3,31,Words with the Short-A Vowel Sound; Sight Word: I,I,T,/ī/,,OPG_Revised_Instructor.pdf
3,31,Words with the Short-A Vowel Sound; Sight Word: I,Dad,F,/ă/,,OPG_Revised_Instructor.pdf
3,31,Words with the Short-A Vowel Sound; Sight Word: I,ran,F,/ă/,,OPG_Revised_Instructor.pdf
3,31,Words with the Short-A Vowel Sound; Sight Word: I,sat,F,/ă/,,OPG_Revised_Instructor.pdf
3,31,Words with the Short-A Vowel Sound; Sight Word: I,had,F,/ă/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,ed,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,red,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,bed,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,fed,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,led,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,wed,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,Ted,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,the,T,/ē/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,tan,F,/ă/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,cat,F,/ă/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,ran,F,/ă/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,had,F,/ă/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,ham,F,/ă/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,pet,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,get,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,bet,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,let,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,set,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,met,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,net,F,/ĕ/,,OPG_Revised_Instructor.pdf
